      i          j        RA          k  l     Dec        m n         mag        
      205        1931      8.4687e+01   0. 0. 	-2.5999e+00 0. 0.      3.8100e+00
      206        1948      8.5190e+01   0. 0. 	-1.9423e+00 0. 0.      2.0500e+00
      207        1949      8.5190e+01   0. 0. 	-1.9423e+00 0. 0.      4.2100e+00
      208        1956      8.4912e+01   0. 0. 	-3.4074e+01 0. 0.      2.6400e+00
      209        1983      8.6120e+01   0. 0. 	-2.2443e+01 0. 0.      3.6000e+00
      210        1998      8.6739e+01   0. 0. 	-1.4822e+01 0. 0.      3.5500e+00
      211        2004      8.6939e+01   0. 0. 	-9.6693e+00 0. 0.      2.0600e+00
      212        2012      8.7873e+01   0. 0. 	 3.9148e+01 0. 0.      3.9700e+00
      213        2015      8.6195e+01   0. 0. 	-6.5736e+01 0. 0.      4.3500e+00
      214        2020      8.6821e+01   0. 0. 	-5.1067e+01 0. 0.      3.8500e+00
      215        2035      8.7827e+01   0. 0. 	-2.0870e+01 0. 0.      3.8100e+00
      216        2040      8.7739e+01   0. 0. 	-3.5774e+01 0. 0.      3.1200e+00
      217        2047      8.8598e+01   0. 0. 	 2.0277e+01 0. 0.      4.4100e+00
      218        2061      8.8793e+01   0. 0. 	 7.4070e+00 0. 0.      5.0000e-01
      219        2077      8.9880e+01   0. 0. 	 5.4286e+01 0. 0.      3.7200e+00
      220        2085      8.9102e+01   0. 0. 	-1.4169e+01 0. 0.      3.7100e+00
      221        2088      8.9883e+01   0. 0. 	 4.4948e+01 0. 0.      1.9000e+00
      222        2091      8.9984e+01   0. 0. 	 4.5937e+01 0. 0.      4.2600e+00
      223        2095      8.9930e+01   0. 0. 	 3.7214e+01 0. 0.      2.6200e+00
      224        2106      8.9384e+01   0. 0. 	-3.5283e+01 0. 0.      4.3600e+00
      225        2120      8.9786e+01   0. 0. 	-4.2815e+01 0. 0.      3.9600e+00
      226        2124      9.0596e+01   0. 0. 	 9.6477e+00 0. 0.      4.1200e+00
      227        2134      9.1030e+01   0. 0. 	 2.3265e+01 0. 0.      4.1600e+00
      228        2159      9.1893e+01   0. 0. 	 1.4769e+01 0. 0.      4.4200e+00
      229        2199      9.2985e+01   0. 0. 	 1.4209e+01 0. 0.      4.4800e+00
      230        2216      9.3720e+01   0. 0. 	 2.2507e+01 0. 0.      3.2800e+00
      231        2219      9.3846e+01   0. 0. 	 2.9502e+01 0. 0.      4.3500e+00
      232        2227      9.3714e+01   0. 0. 	-6.2743e+00 0. 0.      3.9800e+00
      233        2238      9.4906e+01   0. 0. 	 5.9011e+01 0. 0.      4.4800e+00
      234        2256      9.4138e+01   0. 0. 	-3.5142e+01 0. 0.      4.3700e+00
      235        2282      9.5078e+01   0. 0. 	-3.0063e+01 0. 0.      3.0200e+00
      236        2286      9.5739e+01   0. 0. 	 2.2515e+01 0. 0.      2.8800e+00
      237        2294      9.5675e+01   0. 0. 	-1.7956e+01 0. 0.      1.9800e+00
      238        2296      9.5529e+01   0. 0. 	-3.3436e+01 0. 0.      3.8500e+00
      239        2298      9.5942e+01   0. 0. 	 4.5928e+00 0. 0.      4.4400e+00
      240        2326      9.5988e+01   0. 0. 	-5.2696e+01 0. 0.     -7.2000e-01
      241        2343      9.7241e+01   0. 0. 	 2.0212e+01 0. 0.      4.1500e+00
      242        2361      9.7043e+01   0. 0. 	-3.2580e+01 0. 0.      4.4800e+00
      243        2387      9.7964e+01   0. 0. 	-2.3418e+01 0. 0.      4.3300e+00
      244        2421      9.9427e+01   0. 0. 	 1.6400e+01 0. 0.      1.9300e+00
      245        2429      9.9170e+01   0. 0. 	-1.9255e+01 0. 0.      3.9500e+00
      246        2435      9.8744e+01   0. 0. 	-5.2975e+01 0. 0.      4.3900e+00
      247        2443      9.9473e+01   0. 0. 	-1.8237e+01 0. 0.      4.4300e+00
      248        2451      9.9440e+01   0. 0. 	-4.3195e+01 0. 0.      3.1700e+00
      249        2473      1.0098e+02   0. 0. 	 2.5131e+01 0. 0.      2.9800e+00
      250        2478      1.0100e+02   0. 0. 	 1.3229e+01 0. 0.      4.4900e+00
      251        2484      1.0132e+02   0. 0. 	 1.2898e+01 0. 0.      3.3600e+00
      252        2491      1.0130e+02   0. 0. 	-1.6699e+01 0. 0.     -1.4600e+00
      253        2506      1.0197e+02   0. 0. 	 2.4123e+00 0. 0.      4.4700e+00
      254        2538      1.0246e+02   0. 0. 	-3.2509e+01 0. 0.      3.9600e+00
      255        2540      1.0320e+02   0. 0. 	 3.3962e+01 0. 0.      3.6000e+00
      256        2550      1.0205e+02   0. 0. 	-6.1945e+01 0. 0.      3.2700e+00
      257        2553      1.0248e+02   0. 0. 	-5.0614e+01 0. 0.      2.9300e+00
      258        2554      1.0246e+02   0. 0. 	-5.3622e+01 0. 0.      4.4000e+00
      259        2560      1.0432e+02   0. 0. 	 5.8425e+01 0. 0.      4.3500e+00
      260        2574      1.0355e+02   0. 0. 	-1.2038e+01 0. 0.      4.0700e+00
      261        2580      1.0353e+02   0. 0. 	-2.4184e+01 0. 0.      3.8700e+00
      262        2596      1.0403e+02   0. 0. 	-1.7054e+01 0. 0.      4.3700e+00
      263        2618      1.0466e+02   0. 0. 	-2.8972e+01 0. 0.      1.5000e+00
      264        2646      1.0543e+02   0. 0. 	-2.7935e+01 0. 0.      3.4700e+00
      265        2650      1.0603e+02   0. 0. 	 2.0570e+01 0. 0.      3.7900e+00
      266        2653      1.0576e+02   0. 0. 	-2.3833e+01 0. 0.      3.0200e+00
      267        2657      1.0594e+02   0. 0. 	-1.5633e+01 0. 0.      4.1200e+00
      268        2693      1.0710e+02   0. 0. 	-2.6393e+01 0. 0.      1.8400e+00
      269        2697      1.0779e+02   0. 0. 	 3.0246e+01 0. 0.      4.4100e+00
